step,src,dst,val
100,0,1,1
100,1,2,1
100,2,4,1
100,4,5,1
101,5,6,1
101,6,7,1
101,7,3,1
200,10,11,1
200,11,8,1
200,8,9,1
200,9,12,1
300,13,14,1
300,14,15,1
300,15,16,1
300,16,17,1
400,18,20,1
400,20,21,1
400,21,22,1
400,22,19,1
401,19,23,1
600,25,24,1
700,55,56,1
700,56,57,1
700,57,58,1
700,58,26,1
701,26,27,1
701,27,28,1
701,28,29,1
701,29,30,1
701,30,31,1
702,31,32,1
702,32,33,1
702,33,34,1
702,34,35,1
702,35,36,1
703,36,37,1
703,37,38,1
703,38,39,1
703,39,40,1
703,40,41,1
704,41,42,1
704,42,43,1
704,43,44,1
704,44,45,1
704,45,46,1
705,46,47,1
705,47,48,1
705,48,49,1
705,49,50,1
705,50,51,1
706,51,52,1
706,52,53,1
706,53,54,1
706,54,59,1
706,59,60,1
707,60,61,1
707,61,62,1
707,62,63,1
707,63,64,1
707,64,65,1
708,65,66,1
708,66,67,1
708,67,68,1
708,68,69,1
708,69,70,1
709,70,71,1
709,71,72,1
709,72,73,1
709,73,74,1
709,74,75,1
710,75,76,1
710,76,77,1
710,77,78,1
710,78,79,1
710,79,80,1
711,80,81,1
711,81,82,1
711,82,83,1
711,83,84,1
711,84,85,1
712,85,86,1
712,86,87,1
712,87,88,1
712,88,89,1
712,89,90,1
713,90,91,1
713,91,92,1
713,92,93,1
713,93,94,1
713,94,95,1
714,95,96,1
714,96,97,1
714,97,98,1
714,98,99,1
714,99,100,1
715,100,101,1
715,101,102,1
715,102,103,1
715,103,104,1
715,104,105,1
716,105,106,1
716,106,107,1
716,107,108,1
716,108,109,1
716,109,110,1
717,110,111,1
717,111,112,1
717,112,113,1
717,113,114,1
717,114,115,1
718,115,116,1
718,116,117,1
718,117,118,1
718,118,119,1
718,119,120,1
719,120,121,1
719,121,122,1
719,122,123,1
719,123,124,1
719,124,125,1
720,125,126,1
720,126,133,1
720,133,136,1
720,136,137,1
720,137,138,1
721,138,139,1
721,139,140,1
721,140,141,1
721,141,142,1
721,142,143,1
722,143,144,1
722,144,145,1
722,145,146,1
722,146,147,1
722,147,148,1
723,148,149,1
723,149,150,1
723,150,151,1
723,151,152,1
723,152,153,1
724,153,154,1
724,154,155,1
724,155,156,1
724,156,157,1
724,157,127,1
725,127,128,1
725,128,129,1
725,129,130,1
725,130,131,1
725,131,132,1
726,132,134,1
726,134,135,1
200,3,10,1
300,12,13,1
400,17,18,1
600,23,25,1
700,24,55,1
