step,src,dst,val
100,3,4,1
100,4,5,1
100,5,6,1
100,6,7,1
101,7,11,1
101,11,13,1
101,13,14,1
101,14,16,1
101,16,17,1
102,17,18,1
102,18,20,1
102,20,21,1
102,21,23,1
102,23,24,1
103,24,26,1
103,26,0,1
103,0,1,1
103,1,2,1
103,2,8,1
104,8,9,1
104,9,10,1
104,10,12,1
104,12,15,1
104,15,19,1
105,19,22,1
105,22,25,1
400,43,30,1
400,30,31,1
400,31,32,1
400,32,33,1
401,33,34,1
401,34,35,1
401,35,36,1
401,36,39,1
401,39,40,1
402,40,41,1
402,41,42,1
402,42,44,1
402,44,46,1
402,46,47,1
403,47,48,1
403,48,49,1
403,49,50,1
403,50,51,1
403,51,53,1
404,53,38,1
404,38,45,1
404,45,27,1
404,27,28,1
404,28,29,1
405,29,37,1
405,37,52,1
500,70,71,1
500,71,85,1
500,85,58,1
500,58,60,1
501,60,62,1
501,62,63,1
501,63,65,1
501,65,68,1
501,68,69,1
502,69,74,1
502,74,77,1
502,77,79,1
502,79,80,1
502,80,82,1
503,82,83,1
503,83,57,1
503,57,67,1
503,67,78,1
503,78,54,1
504,54,55,1
504,55,56,1
504,56,59,1
504,59,61,1
504,61,64,1
505,64,66,1
505,66,72,1
505,72,73,1
505,73,75,1
505,75,76,1
506,76,81,1
506,81,84,1
600,102,110,1
600,110,87,1
600,87,90,1
600,90,91,1
601,91,94,1
601,94,95,1
601,95,96,1
601,96,98,1
601,98,100,1
602,100,101,1
602,101,103,1
602,103,104,1
602,104,106,1
602,106,107,1
603,107,109,1
603,109,111,1
603,111,89,1
603,89,97,1
603,97,86,1
604,86,88,1
604,88,92,1
604,92,93,1
604,93,99,1
604,99,105,1
605,105,108,1
700,115,119,1
700,119,120,1
700,120,125,1
700,125,114,1
701,114,116,1
701,116,117,1
701,117,118,1
701,118,121,1
701,121,122,1
702,122,123,1
702,123,124,1
702,124,126,1
702,126,127,1
702,127,128,1
703,128,112,1
703,112,113,1
800,342,129,1
800,129,414,1
800,414,978,1
800,978,130,1
801,130,131,1
801,131,132,1
801,132,133,1
801,133,134,1
801,134,135,1
802,135,136,1
802,136,137,1
802,137,138,1
802,138,139,1
802,139,140,1
803,140,141,1
803,141,142,1
803,142,143,1
803,143,144,1
803,144,145,1
804,145,146,1
804,146,147,1
804,147,148,1
804,148,149,1
