id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
58,difference,kw::difference,concept,essence_calculus,,,,,,,,,
59,The essence of calculus [segment 9],WUvTyaaNkzM::seg9,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
60,rectangles,kw::rectangles,concept,essence_calculus,,,,,,,,,
61,screen,kw::screen,concept,essence_calculus,,,,,,,,,
62,that's,kw::that's,concept,essence_calculus,,,,,,,,,
63,value,kw::value,concept,essence_calculus,,,,,,,,,
64,above,kw::above,concept,essence_calculus,,,,,,,,,
65,The essence of calculus [segment 10],WUvTyaaNkzM::seg10,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
66,we're,kw::we're,concept,essence_calculus,,,,,,,,,
67,graph,kw::graph,concept,essence_calculus,,,,,,,,,
68,barely,kw::barely,concept,essence_calculus,,,,,,,,,
69,The essence of calculus [segment 11],WUvTyaaNkzM::seg11,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
70,areas,kw::areas,concept,essence_calculus,,,,,,,,,
71,height,kw::height,concept,essence_calculus,,,,,,,,,
72,their,kw::their,concept,essence_calculus,,,,,,,,,
73,triangle,kw::triangle,concept,essence_calculus,,,,,,,,,
74,The essence of calculus [segment 12],WUvTyaaNkzM::seg12,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
75,capital,kw::capital,concept,essence_calculus,,,,,,,,,
76,comes,kw::comes,concept,essence_calculus,,,,,,,,,
77,doesn't,kw::doesn't,concept,essence_calculus,,,,,,,,,
78,formula,kw::formula,concept,essence_calculus,,,,,,,,,
79,The essence of calculus [segment 13],WUvTyaaNkzM::seg13,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
80,small,kw::small,concept,essence_calculus,,,,,,,,,
81,calculus,kw::calculus,concept,essence_calculus,,,,,,,,,
82,happened,kw::happened,concept,essence_calculus,,,,,,,,,
83,meditate,kw::meditate,concept,essence_calculus,,,,,,,,,
84,The essence of calculus [segment 14],WUvTyaaNkzM::seg14,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
85,adding,kw::adding,concept,essence_calculus,,,,,,,,,
86,different,kw::different,concept,essence_calculus,,,,,,,,,
87,choice,kw::choice,concept,essence_calculus,,,,,,,,,
88,example,kw::example,concept,essence_calculus,,,,,,,,,
89,The essence of calculus [segment 15],WUvTyaaNkzM::seg15,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
90,original,kw::original,concept,essence_calculus,,,,,,,,,
91,approximations,kw::approximations,concept,essence_calculus,,,,,,,,,
92,The essence of calculus [segment 16],WUvTyaaNkzM::seg16,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
93,series examples like,kw::series examples like,concept,essence_calculus,,,,,,,,,
94,series examples,kw::series examples,concept,essence_calculus,,,,,,,,,
95,series but high,kw::series but high,concept,essence_calculus,,,,,,,,,
96,series but,kw::series but,concept,essence_calculus,,,,,,,,,
97,traveled,kw::traveled,concept,essence_calculus,,,,,,,,,
98,The essence of calculus [segment 17],WUvTyaaNkzM::seg17,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
99,problem,kw::problem,concept,essence_calculus,,,,,,,,,
100,equivalent,kw::equivalent,concept,essence_calculus,,,,,,,,,
101,finding,kw::finding,concept,essence_calculus,,,,,,,,,
102,finer,kw::finer,concept,essence_calculus,,,,,,,,,
103,The essence of calculus [segment 18],WUvTyaaNkzM::seg18,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
104,series don't,kw::series don't,concept,essence_calculus,,,,,,,,,
105,series don't more,kw::series don't more,concept,essence_calculus,,,,,,,,,
106,series don't worry,kw::series don't worry,concept,essence_calculus,,,,,,,,,
107,series,kw::series,concept,essence_calculus,,,,,,,,,
108,The essence of calculus [segment 19],WUvTyaaNkzM::seg19,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
109,able find function,kw::able find function,concept,essence_calculus,,,,,,,,,
110,find function,kw::find function,concept,essence_calculus,,,,,,,,,
111,find function vary,kw::find function vary,concept,essence_calculus,,,,,,,,,
112,function vary,kw::function vary,concept,essence_calculus,,,,,,,,,
113,function like,kw::function like,concept,essence_calculus,,,,,,,,,
114,The essence of calculus [segment 20],WUvTyaaNkzM::seg20,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
115,integral calculus holds,kw::integral calculus holds,concept,essence_calculus,,,,,,,,,
116,mystery function know,kw::mystery function know,concept,essence_calculus,,,,,,,,,
117,integral calculus,kw::integral calculus,concept,essence_calculus,,,,,,,,,
118,integral like,kw::integral like,concept,essence_calculus,,,,,,,,,
119,mystery function,kw::mystery function,concept,essence_calculus,,,,,,,,,
120,The essence of calculus [segment 21],WUvTyaaNkzM::seg21,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
121,integral function,kw::integral function,concept,essence_calculus,,,,,,,,,
122,function defining,kw::function defining,concept,essence_calculus,,,,,,,,,
123,integral function finding,kw::integral function finding,concept,essence_calculus,,,,,,,,,
124,function defining interplay,kw::function defining interplay,concept,essence_calculus,,,,,,,,,
125,function finding,kw::function finding,concept,essence_calculus,,,,,,,,,
126,The essence of calculus [segment 22],WUvTyaaNkzM::seg22,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
127,function giving,kw::function giving,concept,essence_calculus,,,,,,,,,
128,function,kw::function,concept,essence_calculus,,,,,,,,,
129,sliver,kw::sliver,concept,essence_calculus,,,,,,,,,
130,whose,kw::whose,concept,essence_calculus,,,,,,,,,
131,nudge,kw::nudge,concept,essence_calculus,,,,,,,,,
132,The essence of calculus [segment 23],WUvTyaaNkzM::seg23,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
133,change,kw::change,concept,essence_calculus,,,,,,,,,
134,input,kw::input,concept,essence_calculus,,,,,,,,,
135,caused,kw::caused,concept,essence_calculus,,,,,,,,,
136,gives,kw::gives,concept,essence_calculus,,,,,,,,,
137,The essence of calculus [segment 24],WUvTyaaNkzM::seg24,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
138,mystery function must,kw::mystery function must,concept,essence_calculus,,,,,,,,,
139,function must,kw::function must,concept,essence_calculus,,,,,,,,,
140,mystery function difference,kw::mystery function difference,concept,essence_calculus,,,,,,,,,
141,function difference,kw::function difference,concept,essence_calculus,,,,,,,,,
142,The essence of calculus [segment 25],WUvTyaaNkzM::seg25,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
143,values,kw::values,concept,essence_calculus,,,,,,,,,
144,evaluated,kw::evaluated,concept,essence_calculus,,,,,,,,,
145,The essence of calculus [segment 26],WUvTyaaNkzM::seg26,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
146,here any function,kw::here any function,concept,essence_calculus,,,,,,,,,
147,any function defined,kw::any function defined,concept,essence_calculus,,,,,,,,,
148,any function,kw::any function,concept,essence_calculus,,,,,,,,,
149,function defined,kw::function defined,concept,essence_calculus,,,,,,,,,
150,The essence of calculus [segment 27],WUvTyaaNkzM::seg27,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
151,derivative more technically,kw::derivative more technically,concept,essence_calculus,,,,,,,,,
152,how sensitive function,kw::how sensitive function,concept,essence_calculus,,,,,,,,,
153,derivative more,kw::derivative more,concept,essence_calculus,,,,,,,,,
154,derivative whatever,kw::derivative whatever,concept,essence_calculus,,,,,,,,,
155,idea derivative,kw::idea derivative,concept,essence_calculus,,,,,,,,,
156,The essence of calculus [segment 28],WUvTyaaNkzM::seg28,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
157,solve ving integral,kw::solve ving integral,concept,essence_calculus,,,,,,,,,
158,ving integral questions,kw::ving integral questions,concept,essence_calculus,,,,,,,,,
159,integral questions problems,kw::integral questions problems,concept,essence_calculus,,,,,,,,,
160,computing derivatives you'll,kw::computing derivatives you'll,concept,essence_calculus,,,,,,,,,
161,ving integral,kw::ving integral,concept,essence_calculus,,,,,,,,,
162,The essence of calculus [segment 29],WUvTyaaNkzM::seg29,segment,essence_calculus,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
163,derivative function,kw::derivative function,concept,essence_calculus,,,,,,,,,
164,fundamental theorem,kw::fundamental theorem,concept,essence_calculus,,,,,,,,,
