step,src,dst,val
2,2,1,1
2,5,6,1
8,9,8,1
12,10,11,1
12,11,12,1
12,12,13,1
12,13,14,1
1,18,17,1
16,20,19,1
18,21,22,1
21,27,25,1
21,25,26,1
24,30,29,1
26,34,33,1
26,33,32,1
29,36,35,1
1,35,37,1
30,46,47,1
30,47,48,1
30,48,49,1
30,49,50,1
30,50,51,1
30,51,96,1
1,96,104,1
10,104,105,1
11,105,106,1
12,106,107,1
13,107,108,1
14,108,109,1
15,109,110,1
16,110,111,1
17,111,112,1
18,112,113,1
19,113,114,1
2,114,115,1
20,115,116,1
21,116,117,1
22,117,118,1
23,118,119,1
24,119,120,1
3,120,121,1
4,121,122,1
5,122,123,1
6,123,124,1
7,124,125,1
8,125,126,1
9,126,127,1
30,127,136,1
3,136,158,1
4,158,159,1
30,159,252,1
30,252,38,1
30,38,39,1
30,39,40,1
30,40,41,1
30,41,42,1
30,42,43,1
30,43,44,1
30,44,45,1
30,45,52,1
30,52,53,1
30,53,54,1
30,54,55,1
30,55,56,1
30,56,57,1
30,57,58,1
30,58,59,1
30,59,60,1
30,60,61,1
30,61,62,1
30,62,63,1
30,63,64,1
30,64,65,1
30,65,66,1
30,66,67,1
30,67,68,1
30,68,69,1
30,69,70,1
30,70,71,1
30,71,72,1
30,72,73,1
30,73,74,1
1,74,75,1
30,75,76,1
30,76,77,1
30,77,78,1
1,78,79,1
30,79,80,1
30,80,81,1
30,81,82,1
30,82,83,1
30,83,84,1
30,84,85,1
30,85,86,1
30,86,87,1
30,87,88,1
30,88,89,1
30,89,90,1
1,90,91,1
30,91,92,1
30,92,93,1
30,93,94,1
30,94,95,1
30,95,97,1
30,97,98,1
30,98,99,1
1,99,100,1
30,100,101,1
30,101,102,1
30,102,103,1
30,103,128,1
30,128,129,1
30,129,130,1
30,130,131,1
30,131,132,1
30,132,133,1
1,133,134,1
2,134,135,1
30,135,137,1
1,137,156,1
2,156,157,1
5,157,160,1
6,160,161,1
7,161,162,1
8,162,163,1
9,163,164,1
10,164,165,1
11,165,166,1
12,166,167,1
13,167,168,1
14,168,169,1
15,169,170,1
16,170,171,1
17,171,172,1
18,172,173,1
19,173,174,1
20,174,175,1
21,175,176,1
22,176,177,1
23,177,178,1
24,178,179,1
30,179,180,1
30,180,181,1
30,181,182,1
30,182,183,1
30,183,184,1
30,184,185,1
30,185,186,1
30,186,187,1
30,187,188,1
30,188,189,1
30,189,190,1
30,190,191,1
30,191,192,1
30,192,193,1
30,193,194,1
30,194,195,1
30,195,196,1
30,196,197,1
30,197,198,1
1,198,199,1
2,199,200,1
3,200,201,1
30,201,202,1
30,202,203,1
30,203,204,1
30,204,205,1
30,205,206,1
30,206,207,1
30,207,208,1
30,208,209,1
30,209,210,1
30,210,211,1
30,211,212,1
30,212,213,1
30,213,214,1
30,214,215,1
30,215,216,1
30,216,217,1
30,217,218,1
30,218,219,1
30,219,220,1
30,220,221,1
30,221,222,1
30,222,223,1
30,223,224,1
30,224,225,1
30,225,226,1
30,226,227,1
30,227,228,1
1,228,229,1
2,229,230,1
30,230,231,1
30,231,232,1
30,232,233,1
30,233,234,1
30,234,235,1
30,235,236,1
30,236,237,1
30,237,238,1
30,238,239,1
30,239,240,1
30,240,241,1
30,241,242,1
30,242,243,1
30,243,244,1
30,244,245,1
30,245,246,1
30,246,247,1
30,247,248,1
30,248,249,1
30,249,250,1
30,250,251,1
30,251,253,1
30,253,254,1
30,254,255,1
30,255,256,1
1,256,257,1
1,257,258,1
2,258,259,1
30,259,260,1
30,260,261,1
30,261,262,1
30,262,263,1
30,263,264,1
30,264,265,1
30,265,266,1
30,266,267,1
30,267,268,1
30,268,269,1
30,269,270,1
30,270,271,1
30,271,272,1
30,272,273,1
30,273,274,1
30,274,275,1
30,275,138,1
2009,138,139,1
30,139,140,1
2010,140,141,1
30,141,142,1
30,142,143,1
30,143,144,1
2009,144,145,1
30,145,146,1
2010,146,147,1
30,147,148,1
30,148,149,1
30,149,150,1
2009,150,151,1
30,151,152,1
2010,152,153,1
30,153,154,1
30,154,155,1
1,0,0,1
2,0,2,1
3,1,3,1
3,3,3,1
4,3,4,1
4,4,4,1
5,4,5,1
7,6,7,1
7,7,7,1
8,7,9,1
12,8,10,1
13,14,15,1
13,15,15,1
14,15,16,1
14,16,16,1
1,16,18,1
16,17,20,1
18,19,21,1
19,22,23,1
19,23,23,1
20,23,24,1
20,24,24,1
21,24,27,1
23,26,28,1
23,28,28,1
24,28,30,1
25,29,31,1
25,31,31,1
26,31,34,1
29,32,36,1
30,37,46,1
