step,src,dst,val
503,8,32,0.7778992652893066
505,8,38,0.6959477663040161
504,8,34,0.6576863527297974
506,8,44,0.6366814970970154
504,8,35,0.5888910293579102
502,8,15,0.5835366249084473
506,8,46,0.5733767747879028
506,8,43,0.5523157715797424
503,9,19,0.9783326387405396
505,9,39,0.942729651927948
506,9,43,0.5701888799667358
501,9,11,0.4775847792625427
505,9,41,0.46578091382980347
501,9,12,0.43226027488708496
503,9,20,0.4211137294769287
505,9,42,0.4164125323295593
505,10,40,0.9986037015914917
504,10,34,0.6303579807281494
503,10,32,0.5533673763275146
504,10,35,0.5420587062835693
503,10,22,0.5371627807617188
506,10,47,0.5209618806838989
502,10,15,0.5194927453994751
506,10,46,0.5177358388900757
505,11,41,0.7995988130569458
507,11,48,0.6726158857345581
505,11,42,0.5598219633102417
503,11,19,0.48102879524230957
503,11,32,0.474846750497818
503,11,22,0.467022180557251
505,11,39,0.4350738227367401
506,11,44,0.42734330892562866
506,12,43,0.7849242091178894
501,12,13,0.5809389352798462
506,12,47,0.5549712181091309
502,12,16,0.5486375093460083
503,12,20,0.5457035303115845
503,12,32,0.5355454683303833
504,12,34,0.5101289749145508
506,12,44,0.5043348670005798
506,13,44,0.8228408694267273
502,13,14,0.5341727137565613
503,13,21,0.5292577147483826
506,13,45,0.5292577147483826
506,13,43,0.494490385055542
502,13,18,0.48977503180503845
504,13,37,0.46999284625053406
502,13,17,0.46862953901290894
503,14,21,0.9974431991577148
506,14,45,0.9974431991577148
506,14,44,0.5051626563072205
503,14,32,0.48866981267929077
502,14,16,0.4774409532546997
506,14,47,0.4771744906902313
504,14,34,0.46880650520324707
505,14,42,0.4669625461101532
506,15,46,0.9047608375549316
504,15,34,0.6436727046966553
503,15,32,0.5763278603553772
505,15,38,0.5589703321456909
506,15,44,0.5404098629951477
504,15,35,0.5324633121490479
505,15,40,0.5112117528915405
504,15,36,0.49014395475387573
506,16,47,0.9978693723678589
503,16,32,0.6580545902252197
506,16,43,0.5592495203018188
504,16,34,0.5514540672302246
506,16,44,0.5159076452255249
504,16,35,0.5117402076721191
505,16,40,0.5063173174858093
503,16,22,0.47844839096069336
502,17,18,0.8374801874160767
504,17,33,0.5683392882347107
518,17,92,0.5469214916229248
519,17,94,0.5365182757377625
518,17,93,0.536185085773468
505,17,42,0.4630511999130249
506,17,47,0.40289169549942017
503,17,21,0.40030384063720703
504,18,33,0.6929457187652588
518,18,92,0.5481874942779541
518,18,93,0.5290874242782593
519,18,94,0.522825300693512
508,18,23,0.5021713972091675
505,18,42,0.47649964690208435
509,18,27,0.4757288992404938
504,18,37,0.41122740507125854
505,19,39,0.9517185688018799
506,19,43,0.5557510852813721
505,19,41,0.4630458950996399
503,19,20,0.4255932569503784
507,19,48,0.4108967185020447
505,19,42,0.39629286527633667
503,19,22,0.37597978115081787
506,19,47,0.3586095869541168
506,20,43,0.4707232117652893
506,20,47,0.4416479170322418
505,20,41,0.4313164949417114
504,20,34,0.4021589159965515
505,20,39,0.40019693970680237
505,20,42,0.3940946161746979
506,20,44,0.38185518980026245
507,20,48,0.3785753548145294
506,21,45,1.0
506,21,44,0.505890965461731
503,21,32,0.49214303493499756
506,21,47,0.4779738485813141
505,21,42,0.46832963824272156
504,21,34,0.46780264377593994
506,21,46,0.39657220244407654
504,22,35,0.6746402978897095
504,22,34,0.5696960687637329
505,22,40,0.5317050218582153
506,22,47,0.4896443486213684
503,22,32,0.4893406629562378
506,22,46,0.477206826210022
505,22,41,0.4685553312301636
505,22,42,0.4533810615539551
509,23,27,0.9629750847816467
508,23,25,0.7773046493530273
509,23,30,0.7409670352935791
508,24,26,0.9875900149345398
509,24,28,0.9547911882400513
509,24,31,0.9387550354003906
517,24,88,0.8226584792137146
518,24,89,0.807427167892456
518,24,90,0.7864211201667786
518,24,91,0.7608113288879395
509,24,29,0.7151036262512207
509,25,30,0.9493163824081421
509,25,27,0.7394606471061707
509,26,31,0.9586800336837769
509,26,28,0.9456104636192322
518,26,89,0.8365774750709534
517,26,88,0.8176950216293335
518,26,91,0.7977296113967896
518,26,90,0.7853226065635681
509,26,29,0.7526142597198486
512,26,63,0.6288480758666992
509,27,30,0.7611606121063232
509,28,31,0.9821885824203491
518,28,90,0.8345186710357666
518,28,91,0.8080445528030396
517,28,88,0.7967512607574463
518,28,89,0.7846925258636475
509,28,29,0.7529585957527161
513,28,64,0.6254533529281616
512,28,63,0.6103383898735046
509,29,31,0.7908437252044678
518,29,91,0.7827016115188599
518,29,89,0.756820559501648
518,29,90,0.7468032240867615
517,29,88,0.7151108980178833
513,29,64,0.5761688947677612
512,29,63,0.5635070204734802
514,29,71,0.5576143264770508
518,31,91,0.849270224571228
518,31,90,0.8293455839157104
518,31,89,0.8198539614677429
517,31,88,0.7911800146102905
513,31,64,0.6191802024841309
512,31,63,0.6048642992973328
514,31,71,0.6021193861961365
513,31,68,0.6007773876190186
506,32,47,0.665984034538269
504,32,34,0.6211146116256714
506,32,44,0.5967234373092651
506,32,43,0.5906880497932434
505,32,38,0.5704289674758911
504,32,35,0.5595689415931702
505,32,40,0.5500501394271851
506,32,46,0.5337318181991577
506,34,46,0.6563019156455994
505,34,40,0.6244567632675171
504,34,35,0.6139426231384277
504,34,36,0.5920416712760925
506,34,47,0.5592286586761475
506,34,44,0.5422881841659546
506,34,43,0.4947015345096588
505,34,41,0.47640255093574524
505,35,38,0.5471762418746948
505,35,40,0.5338143110275269
506,35,47,0.5135143399238586
506,35,46,0.5049217343330383
504,35,36,0.4735622704029083
505,35,42,0.4103900194168091
505,35,41,0.41038888692855835
506,35,44,0.4045943319797516
506,36,46,0.524264931678772
506,36,47,0.3902583718299866
505,36,40,0.3829915225505829
505,36,38,0.3791320323944092
505,37,42,0.450138121843338
507,37,48,0.409939706325531
506,37,44,0.4027080535888672
505,37,41,0.40051162242889404
506,37,45,0.3916388750076294
506,37,47,0.37141910195350647
506,38,44,0.5897718667984009
506,38,46,0.5709178447723389
505,38,41,0.40722277760505676
506,38,47,0.36258482933044434
506,38,43,0.3564267158508301
506,39,43,0.45825570821762085
505,39,41,0.42396610975265503
507,39,48,0.3855748176574707
505,39,42,0.3603435754776001
506,39,46,0.3585968017578125
506,40,47,0.5137839317321777
506,40,46,0.5082960724830627
506,40,43,0.4751824736595154
505,40,42,0.38914942741394043
507,41,48,0.5962857604026794
506,41,44,0.5272361040115356
505,41,42,0.5267872214317322
506,41,43,0.49999427795410156
506,41,47,0.4262884855270386
507,42,48,0.8904173374176025
506,42,45,0.46832963824272156
506,42,47,0.45636793971061707
506,43,47,0.5623095631599426
506,43,44,0.5178481340408325
506,44,46,0.5360990166664124
506,44,47,0.5184297561645508
506,44,45,0.505890965461731
506,45,47,0.4779738485813141
506,45,46,0.39657220244407654
506,46,47,0.46070247888565063
512,49,62,0.8092029094696045
512,49,61,0.8020267486572266
510,49,51,0.7452961206436157
511,49,56,0.7442488670349121
512,49,60,0.7381794452667236
510,49,52,0.7358154058456421
511,49,57,0.7335315942764282
511,49,54,0.728492796421051
510,50,51,0.8120545744895935
512,50,59,0.8014172315597534
510,50,53,0.782371997833252
511,50,58,0.7739101648330688
510,50,52,0.7522354125976562
511,50,55,0.7365297675132751
511,50,56,0.7300382256507874
511,50,54,0.709328293800354
512,51,59,0.813245415687561
511,51,56,0.8061707019805908
510,51,53,0.7863034605979919
511,51,57,0.7809240221977234
510,51,52,0.7752845883369446
511,51,58,0.7705175876617432
511,51,54,0.770171046257019
512,51,62,0.7680020332336426
511,52,58,0.8512221574783325
512,52,59,0.8420573472976685
511,52,55,0.8315287828445435
511,52,56,0.8215805292129517
510,52,53,0.820330798625946
511,52,57,0.818332314491272
512,52,60,0.8062891364097595
512,52,62,0.7901531457901001
512,53,59,0.8609440326690674
511,53,56,0.8540714979171753
511,53,58,0.8347663879394531
