step,src,dst,val
500,0,1,1
500,1,2,1
500,2,3,1
500,3,4,1
501,4,5,1
501,5,6,1
600,7,8,1
600,8,9,1
600,9,10,1
600,10,11,1
601,11,12,1
601,12,13,1
700,14,15,1
700,15,16,1
700,16,17,1
700,17,18,1
701,18,19,1
701,19,20,1
701,20,21,1
701,21,22,1
701,22,23,1
800,24,25,1
800,25,26,1
800,26,27,1
800,27,28,1
900,29,30,1
900,30,31,1
900,31,32,1
900,32,33,1
901,33,34,1
1000,38,39,1
1000,39,40,1
1000,40,41,1
1000,41,42,1
1001,42,43,1
1001,43,44,1
1001,44,45,1
1001,45,46,1
1001,46,47,1
1002,47,48,1
1002,48,49,1
1002,49,50,1
1002,50,51,1
1002,51,52,1
1003,52,53,1
1003,53,54,1
1003,54,55,1
1003,55,56,1
1003,56,57,1
1004,57,58,1
1004,58,59,1
1004,59,60,1
1004,60,61,1
1004,61,62,1
1005,62,63,1
1005,63,64,1
1005,64,65,1
1005,65,66,1
1005,66,67,1
1006,67,68,1
1006,68,69,1
1006,69,70,1
1006,70,71,1
1006,71,72,1
1007,72,73,1
1007,73,74,1
1007,74,91,1
1007,91,92,1
1007,92,93,1
1008,93,94,1
1008,94,95,1
1008,95,96,1
1008,96,97,1
1008,97,98,1
1009,98,99,1
1009,99,100,1
1009,100,101,1
1009,101,102,1
1009,102,103,1
1010,103,104,1
1010,104,105,1
1010,105,106,1
1010,106,107,1
1010,107,108,1
1011,108,109,1
1011,109,110,1
1011,110,111,1
1011,111,112,1
1011,112,113,1
1012,113,114,1
1012,114,115,1
1012,115,116,1
1012,116,117,1
1012,117,118,1
1013,118,119,1
1013,119,120,1
1013,120,121,1
1013,121,122,1
1013,122,123,1
1014,123,124,1
1014,124,125,1
1014,125,126,1
1014,126,127,1
1014,127,128,1
1015,128,129,1
1015,129,130,1
1015,130,131,1
1015,131,132,1
1015,132,133,1
1016,133,134,1
1016,134,135,1
1016,135,136,1
1016,136,137,1
1016,137,138,1
1017,138,139,1
1017,139,140,1
1017,140,141,1
1017,141,142,1
1017,142,143,1
1018,143,144,1
1018,144,145,1
1018,145,146,1
1018,146,147,1
1018,147,148,1
1019,148,149,1
1019,149,150,1
1019,150,151,1
1019,151,152,1
1019,152,153,1
1020,153,154,1
1020,154,155,1
1020,155,156,1
1020,156,157,1
1020,157,158,1
1021,158,159,1
1021,159,160,1
1021,160,161,1
1021,161,162,1
1021,162,163,1
1022,163,164,1
1022,164,165,1
1022,165,166,1
1022,166,167,1
1022,167,168,1
1023,168,169,1
1023,169,170,1
1023,170,171,1
1023,171,172,1
1023,172,173,1
1024,173,174,1
1024,174,175,1
1024,175,176,1
1024,176,177,1
1024,177,178,1
1025,178,179,1
1025,179,180,1
1025,180,181,1
1025,181,182,1
1025,182,183,1
1026,183,184,1
1026,184,185,1
1026,185,186,1
1026,186,187,1
1026,187,188,1
1027,188,189,1
1027,189,190,1
1027,190,191,1
1027,191,192,1
1027,192,193,1
1028,193,194,1
1028,194,195,1
1028,195,196,1
1028,196,197,1
1028,197,198,1
1029,198,199,1
1029,199,200,1
1029,200,201,1
1029,201,202,1
1029,202,203,1
1030,203,204,1
1030,204,205,1
1030,205,206,1
1030,206,207,1
1030,207,208,1
1031,208,209,1
1031,209,210,1
1031,210,211,1
1031,211,212,1
1031,212,213,1
1032,213,214,1
1032,214,215,1
1032,215,216,1
1032,216,217,1
1032,217,218,1
1033,218,219,1
1033,219,220,1
1033,220,221,1
1033,221,222,1
1033,222,223,1
1034,223,224,1
1034,224,225,1
1034,225,232,1
1034,232,233,1
1034,233,234,1
1035,234,235,1
1035,235,236,1
1035,236,35,1
1035,35,36,1
1035,36,37,1
1036,37,75,1
1036,75,237,1
1036,237,238,1
1036,238,76,1
1036,76,77,1
1037,77,78,1
1037,78,79,1
1037,79,80,1
1037,80,81,1
1037,81,82,1
1038,82,83,1
1038,83,84,1
1038,84,85,1
1038,85,86,1
1038,86,87,1
1039,87,88,1
1039,88,89,1
1039,89,90,1
1039,90,226,1
1039,226,227,1
1040,227,228,1
1040,228,229,1
1040,229,230,1
1040,230,231,1
600,6,7,1
700,13,14,1
800,23,24,1
900,28,29,1
1000,34,38,1
